data,genero,localidade,salario
**/**/1981,Female,"**,**, Portugal",$5772.69
**/**/1981,Female,"**,**, Portugal",$7847.46
**/**/1981,Female,"**,**, Portugal",$7539.41
**/**/1981,Female,"**,**, Portugal",$1133.30
**/**/1981,Female,"**,**, Portugal",$5751.78
**/**/1981,Female,"**,**, Portugal",$4450.49
**/**/1981,Female,"**,**, Portugal",$7548.51
**/**/1981,Female,"**,**, Portugal",$5847.43
**/**/1984,Male,"**,**, Portugal",$2420.72
**/**/1984,Male,"**,**, Portugal",$1558.87
**/**/1984,Male,"**,**, Portugal",$3526.69
**/**/1984,Male,"**,**, Portugal",$7345.49
**/**/1984,Male,"**,**, Portugal",$4964.31
**/**/1984,Male,"**,**, Portugal",$2661.36
**/**/1984,Male,"**,**, Portugal",$2558.30
**/**/1984,Male,"**,**, Portugal",$4443.31
**/**/1985,Female,"**,**, Portugal",$1488.42
**/**/1985,Female,"**,**, Portugal",$2854.38
**/**/1985,Female,"**,**, Portugal",$3248.92
**/**/1985,Female,"**,**, Portugal",$7276.96
**/**/1985,Female,"**,**, Portugal",$2411.36
**/**/1985,Female,"**,**, Portugal",$4320.80
**/**/1985,Female,"**,**, Portugal",$7105.57
**/**/1985,Female,"**,**, Portugal",$7982.36
**/**/1985,Female,"**,**, Sweden",$4391.85
**/**/1985,Female,"**,**, Sweden",$6867.13
**/**/1985,Female,"**,**, Sweden",$1145.67
**/**/1985,Female,"**,**, Sweden",$3014.90
**/**/1985,Female,"**,**, Sweden",$4250.40
**/**/1985,Female,"**,**, Sweden",$4733.60
**/**/1985,Female,"**,**, Sweden",$5238.49
**/**/1985,Female,"**,**, Sweden",$6173.77
**/**/1988,Female,"**,**, Portugal",$3223.62
**/**/1988,Female,"**,**, Portugal",$4022.26
**/**/1988,Female,"**,**, Portugal",$4302.66
**/**/1988,Female,"**,**, Portugal",$6594.48
**/**/1988,Female,"**,**, Portugal",$1426.01
**/**/1988,Female,"**,**, Portugal",$4126.56
**/**/1988,Female,"**,**, Portugal",$1404.57
**/**/1988,Female,"**,**, Portugal",$3721.36
**/**/1988,Female,"**,**, Portugal",$7091.02
**/**/1988,Female,"**,**, Portugal",$1160.22
**/**/1988,Female,"**,**, Portugal",$4772.43
**/**/1989,Male,"**,**, France",$1186.54
**/**/1989,Male,"**,**, France",$4959.20
**/**/1989,Male,"**,**, France",$6691.81
**/**/1989,Male,"**,**, France",$5700.29
**/**/1989,Male,"**,**, France",$3772.66
**/**/1989,Male,"**,**, France",$7125.73
**/**/1989,Male,"**,**, France",$5459.27
**/**/1989,Male,"**,**, France",$4197.51
**/**/1989,Male,"**,**, France",$1655.67
**/**/1994,Male,"**,**, Portugal",$4504.29
**/**/1994,Male,"**,**, Portugal",$7857.47
**/**/1994,Male,"**,**, Portugal",$1809.17
**/**/1994,Male,"**,**, Portugal",$2437.75
**/**/1994,Male,"**,**, Portugal",$2666.96
**/**/1994,Male,"**,**, Portugal",$7159.29
**/**/1994,Male,"**,**, Portugal",$7189.04
**/**/1994,Male,"**,**, Portugal",$2533.59
**/**/1994,Male,"**,**, Portugal",$3868.21
**/**/1994,Male,"**,**, Portugal",$6043.66
**/**/1994,Male,"**,**, Portugal",$7794.99
**/**/2000,Female,"**,**, Portugal",$5737.46
**/**/2000,Female,"**,**, Portugal",$3375.21
**/**/2000,Female,"**,**, Portugal",$5964.41
**/**/2000,Female,"**,**, Portugal",$5999.29
**/**/2000,Female,"**,**, Portugal",$3399.67
**/**/2000,Female,"**,**, Portugal",$1411.11
**/**/2000,Female,"**,**, Portugal",$4466.02
**/**/2000,Female,"**,**, Portugal",$6154.03
**/**/2000,Female,"**,**, Portugal",$3114.52
**/**/2003,Male,"**,**, Portugal",$7386.55
**/**/2003,Male,"**,**, Portugal",$5214.50
**/**/2003,Male,"**,**, Portugal",$2866.63
**/**/2003,Male,"**,**, Portugal",$6760.76
**/**/2003,Male,"**,**, Portugal",$7779.56
**/**/2003,Male,"**,**, Portugal",$4260.82
**/**/2003,Male,"**,**, Portugal",$7421.85
**/**/2003,Male,"**,**, Portugal",$7660.68
**/**/2003,Male,"**,**, Portugal",$7070.82
**/**/2005,Female,"**,**, Portugal",$1213.00
**/**/2005,Female,"**,**, Portugal",$4728.31
**/**/2005,Female,"**,**, Portugal",$5283.42
**/**/2005,Female,"**,**, Portugal",$6289.95
**/**/2005,Female,"**,**, Portugal",$7795.42
**/**/2005,Female,"**,**, Portugal",$6172.13
**/**/2005,Female,"**,**, Portugal",$4550.42
**/**/2005,Female,"**,**, Portugal",$6296.35
**/**/2005,Female,"**,**, Portugal",$5368.89
**/**/1981,*,"**,**, France",$1353.19
**/**/1981,*,"**,**, France",$2654.98
**/**/1981,*,"**,**, France",$3435.34
**/**/1981,*,"**,**, France",$4263.66
**/**/1981,*,"**,**, France",$6674.63
**/**/1981,*,"**,**, France",$4796.47
**/**/1981,*,"**,**, France",$3374.55
**/**/1981,*,"**,**, France",$6987.28
**/**/1981,*,"**,**, France",$7680.45
**/**/1981,*,"**,**, United States",$4047.44
**/**/1981,*,"**,**, United States",$4000.92
